gene_symbol,condition
SLC16A2,pigmentation
SLC17A5,pigmentation
SLC17A6,pigmentation
SLC22A7,pigmentation
SLC24A5,pigmentation
SLC29A3,pigmentation
SLC2A1,pigmentation
SLC2A11,pigmentation
SLC30A4,pigmentation
SLC31A1,pigmentation
SLC36A1,pigmentation
SLC40A1,pigmentation
SLC45A2,pigmentation
SLC7A11,pigmentation
SLC7A5,pigmentation
SMARCA4,pigmentation
SMARCA5,pigmentation
SMARCAL1,pigmentation
SMARCD1,pigmentation
SMCHD1,pigmentation
SMO,pigmentation
SNAI2,pigmentation
SNAP29,pigmentation
SNRPC,pigmentation
SOX10,pigmentation
SOX18,pigmentation
SOX2,pigmentation
SOX5,pigmentation
SOX9,pigmentation
SPAG9,pigmentation
SPIRE1,pigmentation
SPIRE2,pigmentation
SPRED1,pigmentation
SRC,pigmentation
SRM,pigmentation
ST3GAL5,pigmentation
STAR,pigmentation
STIM1,pigmentation
STK11,pigmentation
STX12,pigmentation
STX17,pigmentation
STX3,pigmentation
STXBP1,pigmentation
SUFU,pigmentation
SULF1,pigmentation
SUPT5H,pigmentation
SUPT6H,pigmentation
SYTL2,pigmentation
SZT2,pigmentation
TACO1,pigmentation
TAF4,pigmentation
TBC1D10A,pigmentation
TBC1D10B,pigmentation
TBCD,pigmentation
TBX10,pigmentation
TBX15,pigmentation
TBX19,pigmentation
TENM3,pigmentation
TERF1,pigmentation
TERF2,pigmentation
TERF2IP,pigmentation
TERT,pigmentation
TET2,pigmentation
TET3,pigmentation
TFAP2A,pigmentation
TFAP2C,pigmentation
TFAP2E,pigmentation
TFPI2,pigmentation
TGFBR2,pigmentation
THRA,pigmentation
TINF2,pigmentation
TJP1,pigmentation
TLCD3B,pigmentation
TLN1,pigmentation
TMPRSS6,pigmentation
TP53,pigmentation
TP63,pigmentation
TPCN2,pigmentation
TRAF6,pigmentation
TRAPPC6A,pigmentation
TRIM32,pigmentation
TRIM33,pigmentation
TRPM1,pigmentation
TRPM7,pigmentation
TSC1,pigmentation
TSC2,pigmentation
TSHR,pigmentation
TTC8,pigmentation
TXNRD1,pigmentation
TYMS,pigmentation
TYR,pigmentation
TYRP1,pigmentation
UBXN4,pigmentation
UCHL3,pigmentation
UQCRFS1,pigmentation
USB1,pigmentation
USF2,pigmentation
USP10,pigmentation
USP13,pigmentation
USP20,pigmentation
USP28,pigmentation
USP3,pigmentation
USP36,pigmentation
USP43,pigmentation
USP45,pigmentation
USP48,pigmentation
USP53,pigmentation
USP7,pigmentation
USP9X,pigmentation
UVRAG,pigmentation
UVSSA,pigmentation
UXT,pigmentation
VAC14,pigmentation
VAMP7,pigmentation
VANGL1,pigmentation
VDAC1 ,pigmentation
VDR,pigmentation
VPS11,pigmentation
VPS18,pigmentation
VPS33A,pigmentation
VPS39,pigmentation
WASHC1,pigmentation
WDPCP,pigmentation
WDR73,pigmentation
WIF1,pigmentation
WIPI1,pigmentation
WNT1,pigmentation
WNT3A,pigmentation
WNT7A,pigmentation
WRAP53,pigmentation
WRN,pigmentation
XPA,pigmentation
XPC,pigmentation
YWHAE,pigmentation
YWHAZ,pigmentation
YY1,pigmentation
ZBTB17,pigmentation
ZDHHC21,pigmentation
ZEB2,pigmentation
ZIC2,pigmentation
ZMPSTE24,pigmentation
