FamilyID	Leocu<1>	Luden<2>	Ornil<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Scvul<20>	Hegla<21>	Chlan<22>	Hosap<23>	Zoviv<24>	Tagut<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0015497	0.298654	0.000597615	0.140113	0.140113	0.151357	0.163583	0.594314	0.5	0.5	0.532926	0.000560043	0.0689135	0.0274625	0.019767	0.513207	0.119711	0.581	0.132539	0.198922	0.539073	0.5	0.5	0.071166	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.138979	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.518815	0.613286	0.509904	0.0252376	0.0334103
OG0015507	0.298654	0.0526602	0.140113	0.140113	0.151357	0.163583	0.594314	0.500029	4.33291e-05	0.0491083	0.000560043	0.546317	0.0274625	8.83745e-05	0.019767	0.119711	0.581	0.132539	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015510	0.298654	0.600855	0.140113	0.140113	0.602878	0.163583	0.594314	4.33291e-05	0.500029	0.532926	0.0491083	0.546317	0.5	0.5	0.5	0.5	0.5	0.589841	0.636218	0.539073	0.523358	0.523358	0.071166	0.192849	0.631927	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.553842	0.540785	0.044087	0.5	0.542774	0.533829	0.561863	0.0172298	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015532	0.298654	0.600855	0.140113	0.595078	0.151357	0.163583	0.594314	0.500029	4.33291e-05	0.5	0.5	0.546317	0.5	0.5	0.5	0.5	0.5	0.589841	0.198922	0.539073	0.523358	0.523358	0.547845	0.631927	0.631927	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.0799963	0.540785	0.044087	0.5	0.542774	0.533829	0.561863	0.0172298	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015547	0.298654	0.0526602	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.0491083	0.532926	0.0689135	0.535726	0.525894	0.0132936	0.581	0.119711	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.553842	0.540785	0.014982	0.51065	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015553	0.298654	0.000597615	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.0689135	0.535726	0.525894	0.0388433	0.581	0.581	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.014982	0.51065	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015561	0.298654	0.148446	0.595078	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.1139e-05	0.642883	0.23515	0.636218	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.0318217	0.522622	0.0281318	0.5	0.5	0.5	0.5
OG0015563	0.298654	0.148446	0.140113	0.595078	0.602878	0.611392	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.642883	0.000110418	0.132539	0.198922	0.5	0.5	0.5	0.547845	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.00578715	0.518815	0.613286	0.0148311	0.5	0.0334103
OG0015570	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.546317	0.0274625	0.513207	0.019767	0.084116	0.642883	0.23515	0.636218	0.0199023	0.5	0.5	0.071166	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.529541	0.505368	0.542774	0.533829	0.0318217	0.522622	0.518815	0.613286	0.509904	0.0252376	0.0334103
OG0015576	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.0689135	0.518366	0.513207	0.019767	0.581	0.119711	0.589841	0.636218	0.539073	0.523358	0.523358	0.547845	0.631927	0.631927	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015579	0.708412	0.148446	0.140113	0.595078	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.0689135	0.518366	0.5	0.5	0.581	0.581	0.589841	0.636218	0.539073	0.523358	0.523358	0.547845	0.631927	0.192849	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.529541	0.00804471	0.542774	0.533829	0.561863	0.511509	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015582	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.0689135	0.0274625	8.83745e-05	0.513207	0.214891	0.642883	0.0204973	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.529541	0.505368	0.542774	0.533829	0.0318217	0.522622	0.0281318	0.5	0.5	0.5	0.5
OG0015591	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.0167245	0.0491083	0.5	0.5	0.5	0.5	0.581	0.119711	0.132539	0.198922	0.0199023	0.523358	0.523358	0.547845	0.0695735	0.631927	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.553842	0.0607442	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.518815	0.613286	0.509904	0.516873	0.522359
OG0015601	0.298654	0.148446	0.140113	0.595078	0.151357	0.611392	0.13901	1.44433e-05	4.33291e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.00548375	0.0166381	0.0936702	0.198922	0.5	0.5	0.5	0.5	0.192849	0.631927	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.0608857	0.5	0.5	0.5	0.5	0.542774	0.533829	0.0318217	0.522622	0.518815	0.166295	0.5	0.5	0.522359
OG0015609	0.298654	0.600855	0.595078	0.0495422	0.151357	0.611392	0.13901	0.500029	4.33291e-05	0.532926	0.532926	0.546317	0.0274625	0.513207	0.513207	0.5	0.5	0.5	0.5	0.0582126	0.523358	0.034898	0.071166	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.050447	0.5	0.5	0.518815	0.613286	0.509904	0.516873	0.0334103
OG0015613	0.708412	0.148446	0.595078	0.595078	0.151357	0.163583	0.13901	0.500029	4.33291e-05	0.5	0.5	0.0689135	0.518366	0.525894	0.525894	0.119711	0.581	0.132539	0.636218	0.5	0.5	0.5	0.5	0.631927	0.192849	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.540881	0.0799963	0.540785	0.529541	0.00269115	0.542774	0.533829	0.561863	0.511509	0.518815	0.166295	0.5	0.5	0.522359
OG0015626	0.298654	0.148446	0.595078	0.595078	0.151357	0.611392	0.13901	0.500029	4.33291e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.00548375	0.084116	0.0936702	0.719597	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.525639	0.594293	0.0608857	0.5	0.5	0.5	0.5	0.542774	0.0171902	0.612493	0.522622	0.0281318	0.5	0.5	0.5	0.5
