FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000079	-2	19	0	-2	-4	10	4	-3	0	-3	0	0	6	-3	0	-2	2	-1	9	-4	7	-1	-1	-1	7	0	0	-1	1	0	0	2	0	6	-2	0	0	0	9	3	2	0	-5	5	4	0	0	0	-1	0	6	0	2	0	0	0	0	0	0	1	0	0	1
OG0000080	-4	3	2	5	-2	5	-9	3	0	0	-2	0	0	0	2	-1	1	-5	11	4	1	0	-1	2	-2	1	-1	2	-1	-1	-2	1	0	5	1	0	0	0	0	0	-2	0	-2	1	5	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OG0000081	0	0	0	0	0	-1	-1	0	0	0	3	0	0	0	5	-9	-11	-2	19	10	13	0	-5	0	4	2	-3	-9	13	0	-4	0	0	-5	0	-1	0	0	0	0	0	0	0	0	0	0	9	0	-1	0	-1	-2	6	1	0	0	2	1	1	5	0	-2	-1
OG0000084	-4	2	0	1	-1	-2	0	0	1	-4	-1	0	0	0	0	0	-1	4	3	2	2	1	-1	2	0	0	0	-1	0	0	0	-3	0	4	0	0	0	0	2	0	2	1	-3	5	6	0	1	0	0	0	2	0	-1	0	0	0	0	0	0	0	0	0	0
OG0000085	-6	2	3	1	-1	-2	-2	0	-5	7	6	5	-3	0	3	0	-13	5	13	21	-1	0	-2	-1	-1	0	0	-1	0	1	0	-1	0	2	1	0	0	0	-1	-3	-4	4	0	2	0	-2	5	7	3	2	1	-1	-7	0	0	0	0	0	0	0	0	0	-1
OG0000088	-1	0	1	1	-3	0	0	0	-1	0	-5	1	1	0	2	0	-4	1	1	2	0	-1	0	0	0	0	0	0	-1	0	0	-2	0	4	0	0	0	0	1	0	1	0	-1	1	7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0000091	-8	15	4	0	-8	5	0	-1	-3	3	-3	2	4	-3	2	-2	-2	-2	21	18	0	0	0	2	1	0	0	0	-2	0	0	0	0	2	-1	0	0	2	1	0	-3	1	0	1	5	0	1	3	0	5	8	0	-6	0	0	-1	0	0	1	0	0	0	-1
OG0000093	0	1	-1	1	-2	0	-2	2	0	0	0	-1	2	0	3	0	0	3	0	-1	3	0	0	0	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	-1	0	-2	5	2	1	1	0	4	0	3	0	-1	0	0	0	0	0	1	1	0	0	0
OG0000094	-3	5	3	0	-3	1	-1	0	0	-1	-2	0	1	0	0	-2	-1	-1	0	2	0	-2	0	-1	0	0	0	1	0	0	4	-4	0	3	1	0	0	0	0	0	0	0	-2	2	6	1	0	0	0	0	-1	0	5	0	-1	0	0	1	0	0	0	0	0
OG0000096	0	1	1	1	1	-1	-6	4	1	0	-5	0	0	3	1	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-2	0	4	2	0	0	0	0	0	-1	1	0	1	11	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
