OG_ID,analysis_paml
OG0008860,paml_selected
OG0008861,paml_selected
OG0008892,paml_selected
OG0008897,paml_selected
OG0008900,paml_selected
OG0008901,paml_selected
OG0008906,paml_selected
OG0008920,paml_selected
OG0008929,paml_selected
OG0008955,paml_selected
OG0008960,paml_selected
OG0009005,paml_selected
OG0009006,paml_selected
OG0009016,paml_selected
OG0009038,paml_selected
OG0009079,paml_selected
OG0009154,paml_selected
OG0009166,paml_selected
OG0009170,paml_selected
OG0009189,paml_selected
OG0009227,paml_selected
OG0009330,paml_selected
OG0009354,paml_selected
OG0009390,paml_selected
OG0009398,paml_selected
OG0009408,paml_selected
OG0009409,paml_selected
OG0009410,paml_selected
OG0009461,paml_selected
OG0009462,paml_selected
OG0009488,paml_selected
OG0009503,paml_selected
OG0009509,paml_selected
OG0009514,paml_selected
OG0009516,paml_selected
OG0009626,paml_selected
OG0009643,paml_selected
OG0009712,paml_selected
OG0009717,paml_selected
OG0009718,paml_selected
OG0009734,paml_selected
OG0009743,paml_selected
OG0009749,paml_selected
OG0009756,paml_selected
OG0009762,paml_selected
OG0009776,paml_selected
OG0009849,paml_selected
OG0009851,paml_selected
OG0009859,paml_selected
OG0009861,paml_selected
OG0009871,paml_selected
OG0009891,paml_selected
OG0009893,paml_selected
OG0009917,paml_selected
OG0009919,paml_selected
OG0009935,paml_selected
OG0009957,paml_selected
OG0010019,paml_selected
OG0010053,paml_selected
OG0010056,paml_selected
OG0010076,paml_selected
OG0010083,paml_selected
OG0010085,paml_selected
OG0010094,paml_selected
OG0010115,paml_selected
OG0010132,paml_selected
OG0010133,paml_selected
OG0010144,paml_selected
OG0010156,paml_selected
OG0010205,paml_selected
OG0010212,paml_selected
OG0010217,paml_selected
OG0010262,paml_selected
OG0010297,paml_selected
OG0010303,paml_selected
OG0010320,paml_selected
OG0010362,paml_selected
OG0010366,paml_selected
OG0010372,paml_selected
OG0010378,paml_selected
OG0010383,paml_selected
OG0010390,paml_selected
OG0010416,paml_selected
OG0010427,paml_selected
OG0010435,paml_selected
OG0010452,paml_selected
OG0010453,paml_selected
OG0010539,paml_selected
OG0010548,paml_selected
OG0010565,paml_selected
