gene_symbol,condition
ROCK1,eyeloss
RP2,eyeloss
RPE65,eyeloss
RPGR,eyeloss
RPGRIP1L,eyeloss
RSPO1,eyeloss
RTBDN,eyeloss
RWDD1,eyeloss
S1PR3,eyeloss
SALL1,eyeloss
SALL2,eyeloss
SALL4,eyeloss
SARNP,eyeloss
SATB1,eyeloss
SCRIB,eyeloss
SDC2,eyeloss
SDC4,eyeloss
SEMA3F,eyeloss
SETD2,eyeloss
SETD6,eyeloss
SETMAR,eyeloss
SGO1,eyeloss
SHH,eyeloss
SHROOM4,eyeloss
SIVA1,eyeloss
SIX3,eyeloss
SIX6,eyeloss
SLC20A2,eyeloss
SLC24A5,eyeloss
SLC25A24,eyeloss
SLC25A30,eyeloss
SLC2A5,eyeloss
SLC38A10,eyeloss
SLC44A3,eyeloss
SLC45A2,eyeloss
SLC7A11,eyeloss
SLC9A8,eyeloss
SLX4,eyeloss
SMCHD1,eyeloss
SMG9,eyeloss
SMO,eyeloss
SMOC1,eyeloss
SMURF2,eyeloss
SNX3,eyeloss
SORBS2,eyeloss
SOX2,eyeloss
SPARC,eyeloss
SPIN1,eyeloss
SPNS2,eyeloss
SRD5A3,eyeloss
ST6GALNAC3,eyeloss
STRA6,eyeloss
STRA6L,eyeloss
SYNJ1,eyeloss
TBC1D32,eyeloss
TBCE,eyeloss
TCF4,eyeloss
TCF7,eyeloss
TCF7L1,eyeloss
TCTN2,eyeloss
TDGF1,eyeloss
TEAD1,eyeloss
TENM3,eyeloss
TFAP2A,eyeloss
THPO,eyeloss
TIMP3,eyeloss
TMEM108,eyeloss
TMEM165,eyeloss
TMEM189,eyeloss
TMEM216,eyeloss
TMEM63B,eyeloss
TMEM79,eyeloss
TMEM98,eyeloss
TMX3,eyeloss
TNPO2,eyeloss
TOMM40,eyeloss
TRAF3IP1,eyeloss
TRMT10A,eyeloss
TRRAP,eyeloss
TSFM,eyeloss
TUBB,eyeloss
TUFT1,eyeloss
TYR,eyeloss
TYW1,eyeloss
UCP1,eyeloss
UHRF1,eyeloss
UQCRB,eyeloss
USH1C,eyeloss
USP50,eyeloss
VAX1,eyeloss
VHL,eyeloss
VOPP1,eyeloss
VPS11,eyeloss
VPS37D,eyeloss
VPS39,eyeloss
VSX2,eyeloss
VWA8,eyeloss
WARS,eyeloss
WDR36,eyeloss
WDR37,eyeloss
WSB2,eyeloss
XXYLT1,eyeloss
YAE1D1,eyeloss
YAP1,eyeloss
YDJC,eyeloss
YIPF5,eyeloss
YLPM1,eyeloss
YWHAZ,eyeloss
ZBTB24,eyeloss
ZBTB4,eyeloss
ZC3HC1,eyeloss
ZDHHC23,eyeloss
ZEB2,eyeloss
ZFP182,eyeloss
ZIC2,eyeloss
ZNF408,eyeloss
ZNF503,eyeloss
ZNF703,eyeloss
