"FamilyID","Rhtyp","Cacar","Sasal","Darer","Acbae","Ercal","Prang","Modom","Cocri","Ororc","Botau","Ovari","Myluc","Scvul","Ranor","Hegla","Capor","Hosap","Chsab","Elmax","Ancor","Tagut","Chpic","Tecar","Lacha","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"OG0000076","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","EXP","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000077","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000078","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000079","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000080","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000081","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000082","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","EXP","N/A","NO","EXP","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO"
"OG0000084","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","EXP","N/A","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000085","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000086","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000087","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","EXP","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000089","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","EXP","NO","EXP","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000094","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","N/A","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000095","EXP","NO","EXP","NO","NO","EXP","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","N/A","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO"
"OG0000096","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000097","NO","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000098","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000099","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","N/A","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000102","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000104","NO","EXP","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
