FamilyID	Leocu<1>	Luden<2>	Nebri<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Hosap<20>	Zoviv<21>	Tagut<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>
OG0000112	0.568023	0.0438715	0.388051	0.136462	0.617502	0.87107	0.0523465	0.000160525	0.514613	5.53629e-07	0.000384969	0.128268	0.130603	6.23057e-05	5.87303e-07	0.317042	0.317042	0.00754115	0.00107889	2.42715e-05	0.0148169	0.692964	N/A	0.00135127	0.0834485	0.8258	0.602927	0.527385	0.571556	0.0870332	0.707246	0.0247348	0.225296	0.816246	0.780578	0.06617	0.570437	0.585129	0.0375772	0.862474	0.654649	0.0612038	0.537449
OG0000113	0.478289	3.87288e-06	0.503809	0.284251	0.08437	0.54426	0.193571	5.28229e-13	4.28843e-07	0.0121417	2.07617e-12	1.69228e-10	0.000763423	0.134067	0.301263	0.368855	0.368855	0.396345	0.248745	0.0105205	0.0225848	0.240491	N/A	0.00310401	0.0955032	0.464827	0.569704	0.517696	0.547481	6.62122e-06	0.725942	0.653961	0.118084	0.00998657	0.804204	1.0679e-05	0.596474	0.553998	0.542888	0.238516	0.6129	0.525	0.528498
OG0000120	0.326919	0.861721	0.000102621	0.000651175	0.409521	0.634706	0.037364	0.512928	0.512928	0.344615	0.0543392	0.0430525	0.00149705	0.619664	0.18315	0.367936	0.0251324	0.921821	0.0145921	0.0105205	0.658105	0.240491	N/A	0.05992	0.00173039	0.296298	0.602927	0.527385	0.571556	0.289577	0.68599	0.0161445	0.749791	0.787856	0.749462	0.14477	0.554338	0.570009	4.52661e-05	0.0283785	0.172272	0.0495138	0.528498
OG0000126	0.434235	4.8085e-05	3.71731e-09	0.468456	0.000599802	2.22643e-06	0.0304389	1.59073e-27	4.52965e-35	0.00712982	1.32783e-07	0.150806	0.167336	1.46691e-23	2.42777e-06	0.522708	0.827128	0.0423027	0.0244287	0.00412765	0.00313437	0.615705	N/A	0.0369548	0.187697	0.75243	0.560702	0.515226	0.541131	0.000987315	0.674272	0.845688	6.10498e-05	0.0890377	0.252511	0.000101369	0.589299	0.553998	0.542888	0.79161	0.588765	0.0375559	0.519278
OG0000128	0.903737	0.0285967	0.340919	0.837335	0.11867	0.596531	0.000625677	0.50953	0.0143139	0.693679	0.693679	0.447061	0.122972	0.219245	0.642427	0.236013	0.0048828	0.530435	0.771808	0.0177423	0.0909097	0.765936	N/A	0.269672	0.277647	0.803346	0.586852	0.522578	0.559776	0.0650786	0.68599	0.854278	0.749791	0.0561639	0.195154	0.005412	0.566499	0.612914	0.591751	0.874237	0.672711	0.555469	0.562782
OG0000134	0.28253	0.404082	0.0380997	0.388051	0.409521	0.431485	0.846508	0.0117386	0.00395178	0.719596	0.0230119	0.0565993	0.000654991	0.0148583	0.00312023	0.522708	0.522708	0.839677	0.102235	0.673679	0.658105	0.240491	N/A	0.0369548	0.000978599	0.0681744	0.602927	0.527385	0.571556	0.267144	0.674272	0.577308	0.179933	0.787856	0.0764599	1.03952e-09	0.592912	0.553998	0.542888	0.79161	0.588765	0.525	0.528498
OG0000135	0.0356285	0.00219854	0.193055	0.0245252	0.212144	1.08704e-18	6.90444e-09	0.512082	1.28111e-09	2.64554e-40	0.00425477	2.59352e-10	0.601493	0.115139	0.0423787	0.428363	0.428363	6.0058e-06	0.0244287	0.264773	0.0980598	0.0081209	N/A	0.127601	0.000497211	0.249304	0.586852	0.522578	0.559776	0.785244	0.648357	0.000367903	0.707987	8.40818e-06	0.323842	0.649956	0.532853	0.553998	0.542888	0.79161	0.133987	0.525	0.528498
OG0000136	0.434235	3.87288e-06	5.64178e-06	0.0388621	0.162065	0.54426	0.0181792	0.508675	5.52895e-05	0.678987	0.277	2.05188e-13	0.0624248	0.687282	0.00116199	0.780156	0.208715	0.453898	0.620038	6.80376e-05	0.563826	0.563826	N/A	0.00112006	0.0730227	0.772411	0.569704	0.517696	0.02538	0.21767	0.648357	0.0873126	0.0469513	0.0480839	7.46772e-13	0.794315	0.592912	0.537036	0.529238	0.739638	0.56211	0.516881	0.0289187
OG0000137	0.593252	6.76411e-05	0.702698	0.0164386	0.714859	0.350265	0.13473	0.501753	0.501753	0.0458801	0.124785	0.169924	0.547935	0.534941	0.0182195	0.0882912	0.949338	0.0033567	0.00060061	0.834225	3.76333e-07	2.27808e-11	N/A	0.0524238	0.33708	0.663964	0.531857	0.507702	0.521237	0.660256	0.565653	0.306781	0.600568	0.627999	0.600358	0.574874	0.514496	2.98459e-07	3.43839e-05	2.06918e-05	0.357292	0.582989	0.593301
OG0000138	0.513899	0.183164	0.825258	0.313899	0.101474	0.355945	0.191164	0.0117386	0.507818	0.693679	0.301167	0.79735	0.711711	0.675527	0.117683	0.468713	0.201051	0.892312	0.000603126	0.324256	0.296979	0.692964	N/A	0.00654443	0.249875	0.789173	0.578417	0.520146	0.553695	0.243197	0.661749	0.835513	0.163785	0.441938	0.000738435	5.71949e-05	0.0464404	0.570009	0.030093	0.35486	0.654649	0.532913	0.537449
