FamilyID,pvalue,cave.ratio,surface.ratio,DIFF,significant
OG0023097,0.064935065,0.5,0,0.5,no
OG0023098,0.064935065,0.5,0,0.5,no
OG0023137,0.064935065,0.5,0,0.5,no
OG0023164,0.064935065,0.5,0,0.5,no
OG0023460,0.064935065,0.5,0,0.5,no
OG0023472,0.064935065,0.5,0,0.5,no
OG0023508,0.064935065,0.5,0,0.5,no
OG0023520,0.064935065,0.5,0,0.5,no
OG0023529,0.064935065,0.5,0,0.5,no
OG0023557,0.064935065,0.5,0,0.5,no
OG0023571,0.064935065,0.5,0,0.5,no
OG0023574,0.064935065,0.5,0,0.5,no
OG0023581,0.064935065,0.5,0,0.5,no
OG0023600,0.064935065,0.5,0,0.5,no
OG0023629,0.064935065,0.5,0,0.5,no
OG0023675,0.064935065,0.5,0,0.5,no
OG0023679,0.064935065,0.5,0,0.5,no
OG0023680,0.064935065,0.5,0,0.5,no
OG0023688,0.064935065,0.5,0,0.5,no
OG0023694,0.064935065,0.5,0,0.5,no
OG0024234,0.064935065,0.5,0,0.5,no
OG0024646,0.064935065,0.5,0,0.5,no
OG0024846,0.064935065,0.5,0,0.5,no
OG0024935,0.064935065,0.5,0,0.5,no
OG0024994,0.064935065,0.5,0,0.5,no
OG0024996,0.064935065,0.5,0,0.5,no
OG0024999,0.064935065,0.5,0,0.5,no
OG0025089,0.064935065,0.5,0,0.5,no
OG0025094,0.064935065,0.5,0,0.5,no
OG0025097,0.064935065,0.5,0,0.5,no
OG0025111,0.064935065,0.5,0,0.5,no
OG0025113,0.064935065,0.5,0,0.5,no
OG0025116,0.064935065,0.5,0,0.5,no
OG0025125,0.064935065,0.5,0,0.5,no
OG0025129,0.064935065,0.5,0,0.5,no
OG0025130,0.064935065,0.5,0,0.5,no
OG0025133,0.064935065,0.5,0,0.5,no
OG0025312,0.064935065,0.5,0,0.5,no
OG0025352,0.064935065,0.5,0,0.5,no
OG0025650,0.064935065,0.5,0,0.5,no
