OG	count
OG0008191	2
OG0007530	2
OG0007153	2
OG0011640	2
OG0010053	2
OG0012403	2
OG0011078	2
OG0012483	2
OG0012788	2
OG0008977	2
OG0008514	2
OG0013760	2
OG0007922	2
OG0008789	2
OG0011233	2
OG0004790	2
OG0012183	2
OG0012425	2
OG0006444	2
OG0008439	2
OG0006207	2
OG0013417	2
OG0012909	2
OG0012928	2
OG0012880	2
OG0006106	2
OG0011266	2
OG0007741	2
OG0006737	2
OG0009980	2
OG0007750	2
OG0010430	2
OG0008499	2
OG0013104	2
OG0008087	2
OG0005083	2
OG0011483	2
OG0009139	2
OG0008743	2
OG0011620	2
OG0011522	2
OG0009121	2
OG0009444	2
OG0007058	2
OG0008589	2
OG0011837	2
OG0007930	2
OG0007817	2
OG0008160	2
OG0013012	2
OG0011193	2
OG0006740	2
OG0011530	2
OG0009661	2
OG0012190	2
OG0007499	2
OG0008725	2
OG0007115	2
OG0008966	2
OG0011856	2
OG0010997	2
OG0011517	2
OG0011398	2
OG0008758	2
OG0008037	2
OG0014085	2
OG0014494	2
OG0008507	2
OG0008244	2
OG0013098	2
OG0007351	2
OG0009666	2
OG0009702	2
OG0012017	2
OG0007206	2
OG0010097	2
OG0009154	2
OG0012216	2
OG0009754	2
OG0007730	2
OG0007221	2
OG0013247	2
OG0009380	2
OG0008164	2
OG0010850	2
OG0010680	2
OG0009389	2
OG0006987	2
OG0013410	2
OG0011392	2
OG0007884	2
OG0010583	2
OG0010268	2
OG0010019	2
OG0011840	2
OG0010487	2
OG0011369	2
OG0005910	2
OG0013148	2
OG0005610	2
OG0012432	2
OG0011140	2
OG0013047	2
OG0006170	2
OG0009297	2
OG0012471	2
OG0009853	2
OG0011344	2
OG0006869	2
OG0013164	2
OG0007033	2
OG0009162	2
OG0009879	2
OG0013170	2
OG0004409	2
OG0012702	2
OG0010171	2
OG0009691	2
OG0011407	2
OG0012453	2
OG0006738	2
OG0010126	2
OG0007682	2
OG0009194	2
OG0010049	2
OG0010521	2
OG0013568	2
OG0007207	2
OG0010230	2
OG0008209	2
