OG	analysis
OG0007525	cave_species
OG0007559	cave_species
OG0007682	cave_species
OG0007771	cave_species
OG0007884	cave_species
OG0008000	cave_species
OG0008031	cave_species
OG0008102	cave_species
OG0008123	cave_species
OG0008144	cave_species
OG0008149	cave_species
OG0008244	cave_species
OG0008584	cave_species
OG0008767	cave_species
OG0008798	cave_species
OG0008879	cave_species
OG0008966	cave_species
OG0009194	cave_species
OG0009379	cave_species
OG0009412	cave_species
OG0009418	cave_species
OG0009471	cave_species
OG0009528	cave_species
OG0009817	cave_species
OG0010032	cave_species
OG0010205	cave_species
OG0010217	cave_species
OG0010261	cave_species
OG0010345	cave_species
OG0010494	cave_species
OG0010525	cave_species
OG0010694	cave_species
OG0010805	cave_species
OG0010897	cave_species
OG0011078	cave_species
OG0011188	cave_species
OG0011345	cave_species
OG0011362	cave_species
OG0011398	cave_species
OG0011489	cave_species
OG0011545	cave_species
OG0011702	cave_species
OG0011940	cave_species
OG0011941	cave_species
OG0012159	cave_species
OG0012221	cave_species
OG0012379	cave_species
OG0012454	cave_species
OG0012470	cave_species
OG0012475	cave_species
OG0012520	cave_species
OG0012603	cave_species
OG0012622	cave_species
OG0012750	cave_species
OG0012758	cave_species
OG0012909	cave_species
OG0013406	cave_species
OG0013737	cave_species
OG0013776	cave_species
OG0013833	cave_species
OG0002470	cave_species
OG0004409	cave_species
OG0005648	cave_species
OG0006336	cave_species
OG0006466	cave_species
OG0006476	cave_species
OG0006532	cave_species
OG0006619	cave_species
OG0006645	cave_species
OG0006682	cave_species
OG0006686	cave_species
OG0006703	cave_species
OG0006740	cave_species
OG0006763	cave_species
OG0006876	cave_species
OG0006973	cave_species
OG0006986	cave_species
OG0007056	cave_species
OG0007116	cave_species
OG0007206	cave_species
OG0007217	cave_species
OG0007319	cave_species
OG0007410	cave_species
OG0007466	cave_species
OG0007570	cave_species
OG0007642	cave_species
OG0007652	cave_species
OG0007705	cave_species
OG0007721	cave_species
OG0007783	cave_species
OG0007792	cave_species
OG0007881	cave_species
OG0007956	cave_species
OG0008031	cave_species
OG0008037	cave_species
OG0008123	cave_species
OG0008149	cave_species
OG0008158	cave_species
OG0008393	cave_species
OG0008410	cave_species
OG0008464	cave_species
OG0008512	cave_species
OG0008564	cave_species
OG0008600	cave_species
OG0008700	cave_species
OG0008715	cave_species
OG0008761	cave_species
OG0008763	cave_species
OG0008798	cave_species
OG0008816	cave_species
OG0008935	cave_species
OG0008964	cave_species
OG0009084	cave_species
OG0009216	cave_species
OG0009346	cave_species
OG0009444	cave_species
OG0009471	cave_species
OG0009740	cave_species
OG0009923	cave_species
OG0010132	cave_species
OG0010205	cave_species
OG0010352	cave_species
OG0010369	cave_species
OG0010370	cave_species
OG0010392	cave_species
OG0010734	cave_species
OG0010738	cave_species
OG0010853	cave_species
OG0011140	cave_species
OG0011167	cave_species
OG0011172	cave_species
OG0011193	cave_species
OG0011367	cave_species
OG0011470	cave_species
OG0011483	cave_species
OG0011530	cave_species
OG0011640	cave_species
OG0011676	cave_species
OG0011701	cave_species
OG0011840	cave_species
OG0011870	cave_species
OG0011898	cave_species
OG0012017	cave_species
OG0012255	cave_species
OG0012260	cave_species
OG0012448	cave_species
OG0012495	cave_species
OG0012513	cave_species
OG0012534	cave_species
OG0012550	cave_species
OG0012758	cave_species
OG0012860	cave_species
OG0012923	cave_species
OG0012929	cave_species
OG0013169	cave_species
OG0013399	cave_species
OG0013464	cave_species
OG0014160	cave_species
OG0005171	cave_species
OG0005492	cave_species
OG0005610	cave_species
OG0005846	cave_species
OG0005911	cave_species
OG0005954	cave_species
OG0006303	cave_species
OG0006686	cave_species
OG0006737	cave_species
OG0006763	cave_species
OG0006842	cave_species
OG0006973	cave_species
OG0007033	cave_species
OG0007056	cave_species
OG0007217	cave_species
OG0007221	cave_species
OG0007298	cave_species
OG0007319	cave_species
OG0007351	cave_species
OG0007352	cave_species
OG0007492	cave_species
OG0007500	cave_species
OG0007730	cave_species
OG0007741	cave_species
OG0007750	cave_species
OG0007926	cave_species
OG0007998	cave_species
OG0008087	cave_species
OG0008149	cave_species
OG0008153	cave_species
OG0008251	cave_species
OG0008334	cave_species
OG0008352	cave_species
OG0008393	cave_species
OG0008396	cave_species
OG0008410	cave_species
OG0008435	cave_species
OG0008464	cave_species
OG0008499	cave_species
OG0008512	cave_species
OG0008514	cave_species
OG0008543	cave_species
OG0008564	cave_species
OG0008600	cave_species
OG0008625	cave_species
OG0008633	cave_species
OG0008644	cave_species
OG0008651	cave_species
OG0008663	cave_species
OG0008693	cave_species
OG0008717	cave_species
OG0008738	cave_species
OG0008761	cave_species
OG0008816	cave_species
OG0008828	cave_species
OG0008845	cave_species
OG0008935	cave_species
OG0008937	cave_species
OG0009134	cave_species
OG0009173	cave_species
OG0009190	cave_species
OG0009242	cave_species
OG0009329	cave_species
OG0009346	cave_species
OG0009376	cave_species
OG0009406	cave_species
OG0009449	cave_species
OG0009454	cave_species
OG0009472	cave_species
OG0009519	cave_species
OG0009703	cave_species
OG0009754	cave_species
OG0009821	cave_species
OG0009833	cave_species
OG0009848	cave_species
OG0009873	cave_species
OG0009891	cave_species
OG0009980	cave_species
OG0010035	cave_species
OG0010103	cave_species
OG0010132	cave_species
